Id,Employee Id,Scheduled Shift Id,Start Time - Shift,End Time - Shift,Start Time - Break,End Time - Break,Pay Rule ID,Org Id - Sub Shift
520640,3116,533768,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T12:00:00,2018-03-31T12:30:00,18,172
520641,4690,532659,2018-03-31T08:00:00,2018-03-31T20:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,140
520642,4308,534266,2018-03-31T08:00:00,2018-03-31T12:30:00,,,4,870
520643,5126,532516,2018-03-31T08:00:00,2018-03-31T16:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,92
520657,1499,524435,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T13:00:00,2018-03-31T14:00:00,2,124
520658,863,,2018-03-31T08:00:00,2018-03-31T14:00:00,2018-03-31T10:31:00,2018-03-31T11:01:00,6,130
520659,4998,536954,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T11:30:00,2018-03-31T12:00:00,9,1057
520660,4253,534034,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,164
520673,4190,533564,2018-03-31T08:00:00,2018-03-31T13:00:00,,,18,918
520674,3318,536539,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,116
520675,4891,533705,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T16:00:00,2018-03-31T17:00:00,4,116
520676,3365,534936,2018-03-31T08:00:00,2018-03-31T20:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,717
520708,2882,533309,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,352
520709,4468,,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T10:20:00,2018-03-31T11:20:00,4,352
520723,4646,537236,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,1022
520725,4841,533328,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,352
520777,5050,533380,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,18,403
520790,4815,526993,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,18,387
520807,3146,526989,2018-03-31T08:00:00,2018-03-31T15:30:00,2018-03-31T10:30:00,2018-03-31T11:00:00,18,387
520808,5179,,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T10:30:00,2018-03-31T11:00:00,4,519
520809,4762,,2018-03-31T08:00:00,2018-03-31T14:00:00,2018-03-31T10:30:00,2018-03-31T11:00:00,9,1033
520810,5162,,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T10:30:00,2018-03-31T11:30:00,18,427
520662,4438,,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T10:31:00,2018-03-31T11:31:00,4,132
520664,1357,534144,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,28
520669,4107,,2018-03-31T08:00:00,2018-03-31T19:00:00,2018-03-31T10:32:00,2018-03-31T11:32:00,3,132
520671,2888,533767,2018-03-31T08:00:00,2018-03-31T13:00:00,,,18,172
520696,4713,,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T10:34:00,2018-03-31T11:34:00,9,1105
520703,4278,533402,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T09:00:00,2018-03-31T10:00:00,4,296
520714,3381,533460,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T09:00:00,2018-03-31T10:00:00,4,296
520719,4581,537255,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,3,975
520721,4467,532833,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:45:00,2018-03-31T12:45:00,4,304
520739,4648,537285,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,967
520769,4782,534008,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,4,512
520778,4403,534299,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,2,437
520780,5116,,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T10:19:00,2018-03-31T11:19:00,4,403
520787,4808,528068,2018-03-31T08:00:00,2018-03-31T13:00:00,,,18,854
520796,3742,526990,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T12:00:00,2018-03-31T12:30:00,4,387
520798,2130,532749,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,6,764
520803,3351,532685,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,18,519
520814,3386,532670,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:30:00,2018-03-31T12:30:00,6,514
520864,4282,533284,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,395
520652,4879,,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T10:30:00,2018-03-31T11:30:00,4,124
520654,2157,530559,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,2,212
520656,4913,536964,2018-03-31T08:00:00,2018-03-31T19:00:00,2018-03-31T14:00:00,2018-03-31T15:00:00,16,1054
520661,4994,536952,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T13:00:00,2018-03-31T13:30:00,15,1057
520663,4001,536310,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,878
520670,4982,537224,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T10:30:00,2018-03-31T11:30:00,9,1078
520672,5150,532699,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,18,228
520702,4835,532828,2018-03-31T08:00:00,2018-03-31T14:00:00,2018-03-31T11:45:00,2018-03-31T12:15:00,18,304
520706,4362,537259,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T12:00:00,2018-03-31T12:30:00,18,975
520713,4650,537234,2018-03-31T08:00:00,2018-03-31T14:00:00,2018-03-31T11:00:00,2018-03-31T11:30:00,4,1025
520736,1521,537281,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,967
520779,1280,530001,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T14:00:00,2018-03-31T15:00:00,18,725
520781,3480,532724,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,18,766
520786,3479,533016,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,910
520788,5085,530012,2018-03-31T08:00:00,2018-03-31T14:30:00,2018-03-31T12:20:00,2018-03-31T12:50:00,18,725
520795,4069,534307,2018-03-31T08:00:00,2018-03-31T12:30:00,,,4,437
520797,5178,,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T10:28:00,2018-03-31T11:28:00,4,437
520804,4035,532687,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:30:00,2018-03-31T13:30:00,4,519
520806,936,526999,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T12:00:00,2018-03-31T12:30:00,4,387
520811,3754,534005,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,512
520813,1177,534001,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,18,512
520820,940,,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T10:43:00,2018-03-31T11:43:00,18,854
520863,5064,533565,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,395
520872,3870,,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,293
520667,4494,533200,2018-03-31T08:00:00,2018-03-31T19:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,52
520683,3612,,2018-03-31T08:00:00,2018-03-31T14:30:00,2018-03-31T12:00:00,2018-03-31T12:30:00,4,252
520699,2527,532830,2018-03-31T08:00:00,2018-03-31T13:00:00,,,18,304
520700,2760,532819,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:15:00,2018-03-31T12:15:00,6,302
520717,4922,533319,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,18,352
520732,2892,537251,2018-03-31T08:00:00,2018-03-31T14:00:00,2018-03-31T12:00:00,2018-03-31T12:30:00,6,973
520733,4644,537287,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T12:00:00,2018-03-31T12:30:00,4,967
520782,5161,,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T10:20:00,2018-03-31T11:20:00,18,766
520783,5177,,2018-03-31T08:00:00,2018-03-31T14:00:00,2018-03-31T10:21:00,2018-03-31T10:51:00,4,725
520785,5164,,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T10:22:00,2018-03-31T11:22:00,18,926
520799,5063,532740,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:30:00,2018-03-31T13:30:00,4,766
520800,4931,532098,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T14:00:00,2018-03-31T15:00:00,4,427
520802,4478,534298,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T13:00:00,2018-03-31T14:00:00,4,437
520816,3988,532091,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:30:00,2018-03-31T13:30:00,18,427
520817,937,526981,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,384
520818,4011,534624,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,442
